outlook,temperature,humidity,windy,play
rainy,mild,high,TRUE,no
sunny,hot,high,FALSE,no
sunny,hot,high,TRUE,no
sunny,mild,high,FALSE,no
rainy,cool,normal,TRUE,no
overcast,hot,high,FALSE,yes
overcast,mild,high,TRUE,yes
rainy,mild,high,FALSE,yes
overcast,cool,normal,TRUE,yes
overcast,hot,normal,FALSE,yes
rainy,cool,normal,FALSE,yes
rainy,mild,normal,FALSE,yes
sunny,cool,normal,FALSE,yes
sunny,mild,normal,TRUE,yes
,,,,
,,,,
age,spectacle-prescrip,astigmatism,tear-prod-rate,contact-lenses
pre-presbyopic,myope,yes,normal,hard
presbyopic,myope,yes,normal,hard
young,hypermetrope,yes,normal,hard
young,myope,yes,normal,hard
pre-presbyopic,hypermetrope,no,reduced,none
pre-presbyopic,myope,no,reduced,none
pre-presbyopic,hypermetrope,yes,normal,none
pre-presbyopic,hypermetrope,yes,reduced,none
pre-presbyopic,myope,yes,reduced,none
presbyopic,myope,no,normal,none
presbyopic,hypermetrope,no,reduced,none
presbyopic,myope,no,reduced,none
presbyopic,hypermetrope,yes,normal,none
presbyopic,hypermetrope,yes,reduced,none
presbyopic,myope,yes,reduced,none
young,hypermetrope,no,reduced,none
young,myope,no,reduced,none
young,hypermetrope,yes,reduced,none
young,myope,yes,reduced,none
pre-presbyopic,hypermetrope,no,normal,soft
pre-presbyopic,myope,no,normal,soft
presbyopic,hypermetrope,no,normal,soft
young,hypermetrope,no,normal,soft
young,myope,no,normal,soft
